"muni","cod_via","prov","old","new","old_date","new_date"
10007,8,"caceres","DESAPARECIDOS AGOSTO 1936 (GUERRA CIVIL ESPANOLA)","DESAPARECIDOS AGOSTO 1936",20101231,20110630
10014,208,"caceres","FINCA LOS RAIZALES","FINCA LOS RAIZALES ALTOS",20101231,20110630
10047,63,"caceres","CARRETERA DE PLASENCIA","PLASENCIA",20101231,20110630
10047,81,"caceres","LA CELADILLA","HUERTOS DEL SANTO",20101231,20110630
10053,42,"caceres","EX-109 KM 37,4","EX-108",20101231,20110630
10104,119,"caceres","CARRETERA JARANDILLA","ALMAZARA",20101231,20110630
10105,282,"caceres","LAS BUTRERAS","BUTRERAS, LAS",20101231,20110630
10105,55,"caceres","TILOS","LOS TILOS",20101231,20110630
10105,710,"caceres","LA BEJARANA","FINCA LA BEJARANA",20101231,20110630
10107,160,"caceres","BARRIO DEL TEJO","DEL TEJO",20101231,20110630
10121,1821,"caceres","EX-106 MIAJADAS-DON BENITO","EX-106 MIAJADAS-DON BENITO, 1 P.K. 2.5",20101231,20110630
10140,102,"caceres","ROMERO TORRES","ROMERO DE TORRES",20101231,20110630
10148,2790,"caceres","MATIAS MONTERO","MANUEL BERMEJO HERNANDEZ",20101231,20110630
10197,3,"caceres","DE EXTREMADURA","EXTREMADURA (DE)",20101231,20110630
10204,56,"caceres","CONDES DE NIEVA","ANGEL CORREAS PENA",20101231,20110630
1052,1080,"alava","CERCADO (EL)","EL CERCADO",20101231,20110630
1059,4790,"alava","RENACIMIENTO","RENACIMIENTO (DEL)",20101231,20110630
11007,1640,"cadiz","COMPLEJO RENDOMAR","RENDOMAR",20101231,20110630
11007,350,"cadiz","COMPLEJO MIRAMAR","MIRAMAR",20101231,20110630
11007,575,"cadiz","REAL (ZAHARA)","REAL (ZAHARA DE LOS ATUNES)",20101231,20110630
11007,902,"cadiz","MATADOR DE TOROS FRANCISCO RIVERA, PAQUIRRI","FRANCISCO RIVERA,PAQUIRRI",20101231,20110630
11025,21,"cadiz","ALCALDE PATINO","MEMORIA HISTORICA (DE LA)",20101231,20110630
11025,263,"cadiz","CUATRO VIENTOS (LOS)","MARIA ESTHER JIMENEZ VILLEGAS",20101231,20110630
11025,442,"cadiz","TRAVESIA","ALFONSO PERALES",20101231,20110630
11027,891,"cadiz","AMERICO VESPUCCI","AMERIGO VESPUCCI",20101231,20110630
11032,11120,"cadiz","VIRGEN DE LA CARIDAD","PADRE LUIS NUNEZ RODRIGUEZ",20101231,20110630
11032,6176,"cadiz","CABO BLANCO","FRAY MARIANO DE SANLUCAR",20101231,20110630
11033,1065,"cadiz","RIBERA DEL GUARAMI","RIBERA DEL GURAMI",20101231,20110630
11035,20,"cadiz","AMADOR DE LOS RIOS","CORONEL FRANCISCO VALDES",20101231,20110630
11035,570,"cadiz","CORONEL MOSCARDO","PRIVILEGIOS",20101231,20110630
12009,20,"castellon","ALCORA","SANTA QUITERIA (L'ALCORA)",20101231,20110630
12031,152,"castellon","NUEVA","HUERTA NOVELLA",20101231,20110630
13015,610,"ciudad real","PLAZA (F)","DR.ANTONIO HERRERO MENCHEN (F)",20101231,20110630
