"prov","fecha","total_streets","fs","fs_sh"
"a coruna","June 2001",9812,50,0.00509580105992662
"a coruna","January 2010",11338,21,0.00185217851472923
"a coruna","June 2016",11610,12,0.00103359173126615
"alava","June 2001",3131,3,0.000958160332162248
"alava","January 2010",3835,1,0.000260756192959583
"alava","June 2016",3971,1,0.00025182573659028
"albacete","June 2001",8914,87,0.00975992820282701
"albacete","January 2010",9951,48,0.00482363581549593
"albacete","June 2016",10132,40,0.00394788787998421
"alicante","June 2001",25678,122,0.00475114884336786
"alicante","January 2010",30725,100,0.0032546786004882
"alicante","June 2016",31183,82,0.0026296379437514
"almeria","June 2001",17366,77,0.00443395139928596
"almeria","January 2010",21354,60,0.00280977802753582
"almeria","June 2016",22361,58,0.00259380170833147
"asturias","June 2001",10450,54,0.00516746411483254
"asturias","January 2010",13295,41,0.00308386611508086
"asturias","June 2016",14088,39,0.00276831345826235
"avila","June 2001",9077,240,0.0264404538944585
"avila","January 2010",10505,183,0.0174202760590195
"avila","June 2016",11039,162,0.0146752423226742
"badajoz","June 2001",14438,137,0.00948884887103477
"badajoz","January 2010",17177,113,0.00657856435931769
"badajoz","June 2016",18039,105,0.00582072176949942
"baleares","June 2001",16515,29,0.00175597941265516
"baleares","January 2010",17952,22,0.00122549019607843
"baleares","June 2016",18474,19,0.00102847244776443
"barcelona","June 2001",61018,14,0.000229440492969288
"barcelona","January 2010",65983,10,0.000151554188199991
"barcelona","June 2016",67116,8,0.000119196614816139
"bizkaia","June 2001",6041,4,0.00066214202946532
"bizkaia","January 2010",6594,3,0.000454959053685168
"bizkaia","June 2016",6673,3,0.000449572905739547
"burgos","June 2001",10684,130,0.0121677274429053
"burgos","January 2010",13199,94,0.00712175164785211
"burgos","June 2016",13635,85,0.00623395672900623
"caceres","June 2001",15758,417,0.0264627490798325
"caceres","January 2010",18285,210,0.0114848236259229
"caceres","June 2016",18967,197,0.0103864606948911
"cadiz","June 2001",19279,95,0.00492764147518025
"cadiz","January 2010",23009,63,0.00273805902038333
"cadiz","June 2016",23648,61,0.00257949932341001
"cantabria","June 2001",6143,77,0.0125345922187856
"cantabria","January 2010",6913,62,0.00896860986547085
"cantabria","June 2016",7217,38,0.00526534571151448
"castellon","June 2001",11763,52,0.00442064099294398
"castellon","January 2010",14032,20,0.00142531356898518
"castellon","June 2016",14525,16,0.00110154905335628
"ceuta","June 2001",528,7,0.0132575757575758
