"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","AREA","DISTR","SECCION","ENTREV","P1","P2","P3","P401","P402","P403","P404","P501","P502","P601","P602","P6A","P701","P702","P801","P802","P9","P10","P10A","P11","P11A","P12","P12A","P1301","P1302","P1303","P1304","P1305","P1306","P13A","P1401","P14A01","P1402","P14A02","P1403","P14A03","P15.P17","P18","P18A","P1901","P1902","P1903","P1904","P1905","P2001.P22","P23","P23A","P23B","P23C","P24","P24A","P2501","P2502","P2503","P2504","P2505","P2506","P26","P26A","P27","P27A","P28","P29","P29A","P30.P35","P36.P38","P38A","P39","P40","P40A","P41","P42.P48","P49","P50","P51","P52","P53","P54","P55.P55A.P56","P56A","P57","P58.P58A","P59","P60","P61.P61A","P62","P63","P6401","P6402","P6403","P6404","P6501","P6502","P6503","P6504","P6505","P66","P67","P68","P69","P7001","P7002","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","FINAL","PESO","RECUERDO","OCUPAPAD","ESTUDIOS","OCUPA","CONDICION","ESTATUS"
2760,828,11,10,37,4,0,0,0,0,1,3,3,4,1,4,5,10,4,5,4,14,4,1,1,4,1,10,10,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,99,0,NA,0,NA,0,12828183,3,0,1,1,1,1,3,222222222222181312,1,9,9,9,1,1,8,8,1,2,1,1,3,3,2,9,8,21,1,1511882831321333248,181,1,2,1,1,5,"98 7 7 0 0 0 0",1,600,10,3,1,46,513,11,4,11,1,836,13,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,24,4,8,4,35,1,1,NA,1,NA,NA,1,4,"1,5004",1,6,6,8,6,NA
2760,829,11,10,37,4,0,0,0,0,1,4,4,5,2,5,5,4,NA,2,4,99,1,4,7,1,2,10,10,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,3,1,NA,0,NA,0,11838111,8,0,1,1,8,1,1,2222228121334,2,0,0,0,8,8,8,8,1,1,1,2,1,1,4,NA,0,21,98,1153381822218333440,281,1,2,1,1,4,"99 3 3 0 0 0 0",1,999,10,3,2,44,423,2,4,11,1,911,50,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,24,4,8,4,30,1,1,NA,1,NA,NA,1,4,"1,5004",1,99,2,9,12,NA
2760,830,11,10,37,4,0,0,0,0,1,4,3,4,1,5,5,4,12,4,3,11,9,4,9,4,8,10,10,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,99,0,NA,0,NA,0,38812283,3,0,1,8,1,8,1,222222222222131328,2,0,0,0,2,2,1,2,2,1,2,8,2,2,4,NA,0,31,4,1352131138238332416,111,1,98,1,1,5," 59898 0 0 0 0",2,998,10,4,1,58,103,3,3,11,1,711,23,45,3,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,3,NA,9,7,2,1,10,NA,NA,24,4,8,4,30,1,1,NA,1,NA,NA,1,4,"1,5004",1,9,2,7,6,NA
2760,831,11,10,37,4,0,0,0,0,1,2,2,4,1,4,5,4,10,4,2,11,3,1,3,6,3,10,10,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,99,0,NA,0,NA,0,21812113,8,0,1,1,1,1,3,2222221211318,1,2,8,7,8,8,2,8,3,1,3,1,2,2,4,NA,0,11,98,1513121332221333248,181,2,3,1,2,8," 3 8 6 0 0 0 0",1,998,10,4,1,34,103,5,4,11,1,999,19,99,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,4,4,7,NA,NA,NA,5,NA,NA,24,4,8,4,30,1,1,NA,1,NA,NA,1,4,"1,5004",2,9,3,99,12,NA
2760,832,11,10,37,4,0,0,0,0,1,3,4,4,2,3,5,10,93,4,5,11,1,1,2,9,4,10,10,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,99,0,NA,0,NA,0,11811133,1,1,1,3,1,1,3,2222221111213,2,0,0,0,2,2,1,2,1,1,1,3,3,3,2,NA,2,31,1,1421312121123333376,111,3,2,4,0,2," 8 3 3 0 0 0 0",2,600,10,4,1,42,103,3,4,11,1,711,23,45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,24,4,8,4,35,2,1,NA,1,NA,NA,1,4,"1,5004",3,6,2,7,6,NA
2760,833,11,10,37,4,0,0,0,0,1,3,8,4,2,4,4,4,NA,2,8,98,7,1,9,4,8,10,10,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,99,0,NA,0,NA,0,81813113,3,0,1,2,8,8,1,2222223121384,2,0,0,0,2,2,8,3,1,8,1,8,2,2,3,NA,0,31,99,1153223338381333248,181,1,98,9,0,5,"999999 0 0 0 0",1,999,10,3,2,27,103,11,5,11,7,203,13,99,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,6,NA,4,9,NA,NA,7,NA,NA,24,4,8,4,35,2,1,NA,1,NA,NA,1,4,"1,5004",1,99,6,2,11,NA
2760,834,11,10,37,4,0,0,0,0,1,4,8,5,1,5,5,98,NA,5,2,15,2,7,1,4,8,37,37,1,1,4,4,NA,NA,NA,NA,NA,1,NA,99,0,NA,0,NA,0,31828111,3,0,1,1,1,1,8,222222222221811808,2,0,0,0,8,8,2,2,1,1,3,1,3,3,1,9,8,91,98,1153122821222333440,881,2,98,1,2,7," 79898 0 0 0 0",1,600,10,3,2,67,103,2,6,12,2,912,23,70,1,1,NA,1,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,7,NA,NA,9,NA,3,7,NA,NA,24,4,8,4,40,2,1,NA,1,NA,NA,1,4,"1,5004",2,6,2,9,8,NA
2760,835,11,10,37,4,0,0,0,0,1,4,3,5,1,5,5,4,8,2,4,5,7,8,1,2,8,10,10,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,99,0,NA,0,NA,0,21833118,8,0,1,1,8,1,2,222222222221821408,2,0,0,0,2,2,8,3,8,1,3,1,3,3,1,9,8,91,4,1513131833332333312,181,1,98,1,1,5,"999999 0 0 0 0",1,999,10,4,2,60,103,2,6,12,7,533,13,50,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,24,4,8,4,40,2,1,NA,1,NA,NA,1,4,"1,5004",1,99,2,5,11,NA
2760,836,11,10,0,2,0,0,0,0,1,4,8,4,1,4,5,4,5,2,3,5,1,7,98,98,8,10,10,1,1,8,2,NA,NA,NA,NA,NA,1,NA,98,0,98,0,98,0,31838138,3,0,1,1,8,8,1,222222222221811328,1,3,8,4,2,2,1,8,8,1,2,1,7,7,1,NA,3,39,0,1151213238811333376,811,1,98,1,1,5," 59898 0 0 0 0",2,602,10,2,1,73,102,0,6,11,2,602,23,1,1,NA,1,1,1,8,9,28,NA,NA,2,4,2,NA,NA,NA,1,4,2,NA,NA,NA,NA,10,NA,2,5,8,5,25,3,1,NA,1,NA,NA,1,4,"1,5004",1,6,1,6,8,NA
2760,837,11,10,0,2,0,0,0,0,1,3,3,5,2,4,5,13,6,5,2,14,1,7,1,4,2,10,10,1,1,3,8,NA,NA,NA,NA,NA,NA,NA,3,1,5,1,6,1,11133112,3,0,1,1,1,1,8,8188223111338,1,2,4,1,2,8,1,2,1,1,1,1,3,3,2,NA,2,21,98,1411112132812333312,111,1,98,1,1,4," 59898 0 0 0 0",2,602,10,4,2,40,103,3,9,12,4,502,21,85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,8,5,30,3,1,NA,1,NA,NA,1,4,"1,5004",1,6,2,5,9,NA
2760,838,11,10,0,2,0,0,0,0,1,4,3,5,2,5,5,98,NA,1,8,1,4,10,4,10,2,10,10,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,3,1,98,0,98,0,13113332,3,0,1,1,1,1,3,8888213131338,1,1,5,1,1,1,1,1,1,3,1,1,3,3,3,NA,0,21,98,1428111111313333248,215,0,2,5,0,1,"99 1 1 0 0 0 0",3,602,10,3,1,23,523,3,0,30,1,761,13,70,1,NA,1,1,1,7,8,NA,NA,NA,2,3,1,NA,NA,NA,3,NA,6,NA,2,4,3,NA,NA,2,5,8,5,25,3,1,1,1,NA,NA,1,4,"1,5004",8,6,2,7,6,NA
2760,839,11,10,0,2,0,0,0,0,1,4,3,2,2,4,4,13,NA,4,5,14,4,9,4,9,8,10,10,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,98,0,98,0,98,0,11133112,3,0,1,1,1,1,3,8888881111333,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,NA,0,21,4,1132111132821333248,111,1,98,1,1,4," 4 5 5 0 0 0 0",2,602,10,4,1,35,103,3,0,30,1,502,13,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,4,NA,10,NA,3,5,1,NA,NA,2,5,8,5,35,3,1,NA,1,NA,NA,1,4,"1,5004",1,6,2,5,7,NA
2760,840,11,10,0,2,0,0,0,0,1,3,3,3,1,4,5,4,6,4,5,5,1,7,4,1,4,10,10,1,1,8,8,NA,NA,NA,NA,NA,NA,NA,3,8,98,0,98,0,11133132,3,0,1,1,3,1,1,222222222221111328,1,3,8,4,2,2,1,3,1,1,2,1,2,2,1,NA,2,31,1,1143121133221333248,211,1,26,1,1,4," 69898 0 0 0 0",2,711,10,4,1,51,103,3,5,11,1,711,13,45,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,5,NA,8,NA,1,5,2,NA,NA,2,5,8,5,30,3,1,NA,1,NA,NA,1,4,"1,5004",1,7,2,7,6,NA
2760,841,11,10,0,2,0,0,0,0,1,4,8,5,1,4,5,98,NA,2,3,5,1,7,98,98,1,10,10,1,1,8,2,NA,NA,NA,NA,NA,1,NA,5,8,1,2,98,0,31838123,3,0,8,1,8,1,2,222222222221811808,2,0,0,0,2,2,8,3,1,1,3,1,7,7,3,NA,0,31,8,1132218132822333312,289,0,98,1,98,98,"999898 0 0 0 0",1,600,10,4,2,74,222,0,10,14,3,601,40,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,6,NA,9,1,NA,6,5,NA,NA,2,5,8,5,35,4,1,NA,1,NA,NA,1,4,"1,5004",99,6,1,6,8,NA
2760,842,11,10,0,2,0,0,0,0,1,4,3,5,2,4,4,10,NA,4,5,11,1,7,4,1,8,10,6,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,3,8,98,0,98,0,31838112,8,0,1,1,1,1,3,2288222121338,1,1,5,1,2,1,1,1,1,1,1,1,3,3,3,NA,0,31,4,1433121132832333312,211,99,98,1,99,5," 5 5 5 0 0 0 0",1,711,10,4,2,25,523,8,8,12,1,152,21,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,7,NA,NA,NA,NA,NA,1,2,NA,2,5,8,5,30,4,1,NA,1,NA,NA,1,4,"1,5004",99,7,5,1,12,NA
