"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","VOX2019_04","part2019_04","PP2016_06","VOX2016_06","part2016_06","PP2015_12","VOX2015_12","part2015_12","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PSOE_share"
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.0339805825242718,0.801526717557252,0.338709677419355,0,0.700374531835206,0.338461538461538,NA,0.732342007434944,0.395744680851064,0.813793103448276,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2019_04",10.1941747572816
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.0339805825242718,0.801526717557252,0.338709677419355,0,0.700374531835206,0.338461538461538,NA,0.732342007434944,0.395744680851064,0.813793103448276,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2016_06",7.52688172043011
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.0339805825242718,0.801526717557252,0.338709677419355,0,0.700374531835206,0.338461538461538,NA,0.732342007434944,0.395744680851064,0.813793103448276,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2015_12",5.12820512820513
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.0339805825242718,0.801526717557252,0.338709677419355,0,0.700374531835206,0.338461538461538,NA,0.732342007434944,0.395744680851064,0.813793103448276,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2011_11",14.8936170212766
2003,"albacete","Albacete",12.0552439418252,"castilla-la mancha",0,1,1,0,0,0,0,0,18,3,3,3,3,18336,14802,0.106605270960878,0.0860586398758133,0.20446621524276,0.154559861691399,0.784012780220519,0.404024491424851,NA,0.724449548909676,0.359931496619637,0.00322603128453795,0.766078857827052,0.575802245152512,0.760276731898542,0,0,0,0,0,0,0,0,2.94443897916644,1.38629436111989,1.38629436111989,1.38629436111989,0,1.38704949263648,"2019_04",27.593526389089
2003,"albacete","Albacete",12.0552439418252,"castilla-la mancha",0,1,1,0,0,0,0,0,18,3,3,3,3,18336,14802,0.106605270960878,0.0860586398758133,0.20446621524276,0.154559861691399,0.784012780220519,0.404024491424851,NA,0.724449548909676,0.359931496619637,0.00322603128453795,0.766078857827052,0.575802245152512,0.760276731898542,0,0,0,0,0,0,0,0,2.94443897916644,1.38629436111989,1.38629436111989,1.38629436111989,0,1.38704949263648,"2016_06",21.8931493325772
2003,"albacete","Albacete",12.0552439418252,"castilla-la mancha",0,1,1,0,0,0,0,0,18,3,3,3,3,18336,14802,0.106605270960878,0.0860586398758133,0.20446621524276,0.154559861691399,0.784012780220519,0.404024491424851,NA,0.724449548909676,0.359931496619637,0.00322603128453795,0.766078857827052,0.575802245152512,0.760276731898542,0,0,0,0,0,0,0,0,2.94443897916644,1.38629436111989,1.38629436111989,1.38629436111989,0,1.38704949263648,"2015_12",22.2098314299085
2003,"albacete","Albacete",12.0552439418252,"castilla-la mancha",0,1,1,0,0,0,0,0,18,3,3,3,3,18336,14802,0.106605270960878,0.0860586398758133,0.20446621524276,0.154559861691399,0.784012780220519,0.404024491424851,NA,0.724449548909676,0.359931496619637,0.00322603128453795,0.766078857827052,0.575802245152512,0.760276731898542,0,0,0,0,0,0,0,0,2.94443897916644,1.38629436111989,1.38629436111989,1.38629436111989,0,1.38704949263648,"2011_11",23.7802678102032
2013,"albacete","Balsa de Ves",5.2040066870768,"castilla-la mancha",0,1,1,1,0,0,0,0,2,2,1,1,1,13,9,0.0714285714285714,0.0494505494505495,0.272727272727273,0.218181818181818,0.837037037037037,0.566666666666667,NA,0.773109243697479,0.480769230769231,0,0.795454545454545,0.59504132231405,0.778481012658228,1,1,0,0,1,1,0,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0,1.40625,"2019_04",31.8181818181818
2013,"albacete","Balsa de Ves",5.2040066870768,"castilla-la mancha",0,1,1,1,0,0,0,0,2,2,1,1,1,13,9,0.0714285714285714,0.0494505494505495,0.272727272727273,0.218181818181818,0.837037037037037,0.566666666666667,NA,0.773109243697479,0.480769230769231,0,0.795454545454545,0.59504132231405,0.778481012658228,1,1,0,0,1,1,0,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0,1.40625,"2016_06",24.4444444444444
