"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","PSOE2019_04","part2019_04","PP2016_06","PSOE2016_06","part2016_06","PSOE2015_12","PP2015_12","part2015_12","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","VOX_share"
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.101941747572816,0.801526717557252,0.338709677419355,0.0752688172043011,0.700374531835206,0.0512820512820513,0.338461538461538,0.732342007434944,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2019_04",3.39805825242718
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.101941747572816,0.801526717557252,0.338709677419355,0.0752688172043011,0.700374531835206,0.0512820512820513,0.338461538461538,0.732342007434944,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2016_06",0
1023,"alava","Elvillar/Bilar",5.89440283426485,"euskadi",0,0,0,0,0,0,0,0,1,1,1,1,1,18,11,0.0495867768595041,0.0303030303030303,0.237864077669903,0.101941747572816,0.801526717557252,0.338709677419355,0.0752688172043011,0.700374531835206,0.0512820512820513,0.338461538461538,0.732342007434944,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39398496240602,"2015_12",NA
3001,"alicante","Adsubia",6.51767127291227,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,28,19,0.0413589364844904,0.0280649926144756,0.336879432624113,0.148936170212766,0.826086956521739,0.51865671641791,0.0746268656716418,0.798219584569733,0.0664335664335664,0.496503496503497,0.857566765578635,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.76470588235295,"2019_04",6.02836879432624
3001,"alicante","Adsubia",6.51767127291227,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,28,19,0.0413589364844904,0.0280649926144756,0.336879432624113,0.148936170212766,0.826086956521739,0.51865671641791,0.0746268656716418,0.798219584569733,0.0664335664335664,0.496503496503497,0.857566765578635,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.76470588235295,"2016_06",0
3001,"alicante","Adsubia",6.51767127291227,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,28,19,0.0413589364844904,0.0280649926144756,0.336879432624113,0.148936170212766,0.826086956521739,0.51865671641791,0.0746268656716418,0.798219584569733,0.0664335664335664,0.496503496503497,0.857566765578635,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.76470588235295,"2015_12",0
3005,"alicante","Albatera",9.36648905446611,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,1230,1050,0.105218135158255,0.0898203592814371,0.258111380145278,0.232606941081517,0.790459319245856,0.509205591544494,0.195192635526764,0.761616681683614,0.204805491990847,0.446060804184374,0.794273184573713,1,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39088203145328,"2019_04",22.3567393058918
3005,"alicante","Albatera",9.36648905446611,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,1230,1050,0.105218135158255,0.0898203592814371,0.258111380145278,0.232606941081517,0.790459319245856,0.509205591544494,0.195192635526764,0.761616681683614,0.204805491990847,0.446060804184374,0.794273184573713,1,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39088203145328,"2016_06",0.306853051483123
3005,"alicante","Albatera",9.36648905446611,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,1230,1050,0.105218135158255,0.0898203592814371,0.258111380145278,0.232606941081517,0.790459319245856,0.509205591544494,0.195192635526764,0.761616681683614,0.204805491990847,0.446060804184374,0.794273184573713,1,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.39088203145328,"2015_12",0.63746322327558
3013,"alicante","Alguena",7.31721240835984,"comunidad valenciana",0,0,0,0,0,0,1,1,2,2,2,2,2,149,136,0.098937583001328,0.0903054448871182,0.336018411967779,0.336018411967779,0.824299065420561,0.461722488038278,0.248803827751196,0.75381850853549,0.281456953642384,0.419426048565121,0.820466786355476,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,2.28272759985606,"2019_04",8.05523590333717
