"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
29,"29056",1177,807,794,3,13,"ACIMA",0
29,"29067",420165,273593,271376,3342,2217,"ACIMA",348
29,"29065",207,151,149,1,2,"ACIMA",0
29,"29004",343,281,281,0,0,"ACIMA",1
29,"29072",3258,2484,2447,30,37,"ACIMA",0
29,"29054",39904,27540,27307,240,233,"ACIMA",27
29,"29005",4307,2967,2951,18,16,"ACIMA",0
29,"29902",2577,1689,1665,20,24,"ACIMA",2
29,"29093",2299,1767,1732,7,35,"ACIMA",0
29,"29028",1253,887,876,8,11,"ACIMA",8
29,"29008",14069,9934,9859,118,75,"ACIMA",4
29,"29088",2784,2019,1975,14,44,"ACIMA",0
29,"29075",12666,8284,8218,62,66,"ACIMA",2
29,"29062",647,573,571,1,2,"ACIMA",0
29,"29037",227,170,170,0,0,"ACIMA",0
29,"29019",908,720,714,0,6,"ACIMA",0
29,"29090",1805,1265,1260,5,5,"ACIMA",4
29,"29052",245,151,151,0,0,"ACIMA",0
29,"29032",6673,5204,5140,43,64,"ACIMA",4
29,"29073",1520,1032,1021,10,11,"ACIMA",10
29,"29092",596,457,454,10,3,"ACIMA",2
29,"29031",1652,1123,1118,11,5,"ACIMA",0
29,"29053",1715,1239,1221,7,18,"ACIMA",1
29,"29059",2551,1986,1964,11,22,"ACIMA",1
29,"29100",2442,1834,1824,14,10,"ACIMA",1
29,"29023",1661,1080,1074,15,6,"ACIMA",2
29,"29017",6766,5162,5114,48,48,"ACIMA",3
29,"29039",2822,2091,2074,8,17,"ACIMA",0
29,"29085",156,116,113,0,3,"ACIMA",1
29,"29006",721,516,508,5,8,"ACIMA",0
29,"29025",34637,22545,22354,268,191,"ACIMA",21
29,"29086",814,538,536,9,2,"ACIMA",1
29,"29095",3431,2660,2607,23,53,"ACIMA",2
29,"29079",2500,2016,2000,23,16,"ACIMA",1
29,"29044",866,631,627,3,4,"ACIMA",0
29,"29033",1385,878,868,4,10,"ACIMA",0
29,"29076",2022,1384,1374,14,10,"ACIMA",134
29,"29046",2777,2032,2013,10,19,"ACIMA",1
29,"29011",3013,1893,1876,7,17,"ACIMA",0
29,"29077",225,157,157,1,0,"ACIMA",0
29,"29030",839,669,668,5,1,"ACIMA",0
29,"29081",290,226,226,3,0,"ACIMA",0
29,"29083",2212,1679,1652,15,27,"ACIMA",1
29,"29041",2796,1950,1921,24,29,"ACIMA",2
29,"29091",8777,6226,6126,64,100,"ACIMA",1
29,"29020",3188,2448,2424,30,24,"ACIMA",3
29,"29024",414,271,261,6,10,"ACIMA",0
29,"29018",2088,1565,1540,9,25,"ACIMA",3
29,"29070",35228,23374,23146,258,228,"ACIMA",28
29,"29068",6209,4025,3983,41,42,"ACIMA",7
29,"29097",4076,3060,3018,40,42,"ACIMA",1
29,"29057",413,311,308,2,3,"ACIMA",0
29,"29050",483,341,340,1,1,"ACIMA",1
29,"29014",250,152,150,0,2,"ACIMA",6
29,"29074",818,631,630,3,1,"ACIMA",0
