"muni_code","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15"
1001,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0
1003,1,1,0,0,0,0,0,0
1004,0,1,1,0,0,0,0,0
1006,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0
1009,1,1,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0
1013,1,1,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0
1016,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0
1018,1,0,0,0,0,0,0,0
1019,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0,0
1036,1,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0
1039,1,0,0,0,1,0,0,0
1041,0,0,0,0,0,0,0,0
1042,0,0,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0
1044,0,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0,0,0
1052,0,1,1,0,0,0,0,0
1053,1,1,0,0,0,0,0,0
1054,0,1,1,0,0,0,0,0
1055,0,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0
1058,1,1,0,0,0,0,0,0
1059,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0
1061,1,1,0,0,0,0,0,0
1062,0,0,0,0,0,0,0,0
1063,1,1,0,0,0,0,0,0
1901,1,1,0,0,1,1,0,0
1902,0,0,0,0,0,0,0,0
2001,1,1,0,0,1,1,0,0
2002,1,1,0,0,1,1,0,0
2003,0,0,0,0,0,0,0,0
2004,1,1,0,0,1,1,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,1,1,0,0,1,1,0,0
2008,1,1,0,0,1,1,0,0
2009,0,0,0,0,0,0,0,0
2010,0,1,1,0,0,1,1,0
2011,1,0,0,0,1,0,0,0
2012,1,1,0,0,1,1,0,0
2013,1,1,0,0,1,1,0,0
2014,1,1,0,0,1,1,0,0
2015,1,1,0,0,1,1,0,0
2016,1,0,0,0,1,0,0,0
2017,0,1,1,0,0,1,1,0
2018,0,0,0,0,0,0,0,0
2019,1,1,0,0,1,1,0,0
2020,1,1,0,0,1,1,0,0
2021,0,1,1,0,0,1,1,0
2022,0,0,0,0,0,0,0,0
