"muni_code","muni_name","total","h_u25","h_25_40","h_a40","m_u25","m_25_40","m_a40","agricultura","industria","construccion","servicios","sin_empleo_anterior","prov"
15001,"abegondo",261,11,40,68,5,51,86,11,37,15,179,19,"a coruna"
15002,"ames",1913,33,332,434,37,557,520,24,139,140,1423,187,"a coruna"
15003,"aranga",51,1,8,25,1,9,7,4,4,4,35,4,"a coruna"
15004,"ares",415,7,75,100,5,109,119,15,37,44,292,27,"a coruna"
15005,"arteixo",2159,42,366,504,54,559,634,27,311,213,1455,153,"a coruna"
15006,"arzua",276,7,36,79,3,54,97,15,42,29,176,14,"a coruna"
15007,"bana, a",197,5,25,78,2,44,43,14,30,36,109,8,"a coruna"
15008,"bergondo",370,11,59,110,12,64,114,9,32,32,262,35,"a coruna"
15009,"betanzos",798,20,145,193,26,189,225,16,71,61,584,66,"a coruna"
15010,"boimorto",63,2,6,25,1,8,21,8,7,8,38,2,"a coruna"
15011,"boiro",1106,47,176,251,42,297,293,46,207,95,700,58,"a coruna"
15012,"boqueixon",191,9,24,47,6,58,47,6,20,14,141,10,"a coruna"
15013,"brion",436,5,83,116,6,131,95,6,40,42,313,35,"a coruna"
15014,"cabana de bergantinos",280,6,25,82,2,61,104,9,75,43,139,14,"a coruna"
15015,"cabanas",180,3,36,50,2,36,53,2,23,22,119,14,"a coruna"
15016,"camarinas",366,11,45,69,8,94,139,33,34,37,242,20,"a coruna"
15017,"cambre",1481,46,220,378,27,341,469,19,161,121,1074,106,"a coruna"
15018,"capela, a",60,3,9,23,2,12,11,4,11,8,33,4,"a coruna"
15019,"carballo",2493,63,338,574,66,650,802,50,554,434,1299,156,"a coruna"
15901,"carino",172,2,33,54,1,41,41,13,15,12,124,8,"a coruna"
15020,"carnota",250,8,37,61,5,47,92,16,36,33,156,9,"a coruna"
15021,"carral",289,4,45,72,8,86,74,8,49,28,182,22,"a coruna"
15022,"cedeira",372,5,68,87,4,96,112,26,45,22,247,32,"a coruna"
15023,"cee",584,5,98,132,12,183,154,26,67,72,390,29,"a coruna"
15024,"cerceda",221,2,40,44,9,60,66,4,34,24,154,5,"a coruna"
