"prov","fecha","total_streets","f_streets"
"a coruna","2001_06",9812,50
"a coruna","2010_12",11338,21
"a coruna","2011_06",11392,21
"a coruna","2011_12",11431,21
"a coruna","2012_06",11484,21
"a coruna","2012_12",11460,21
"a coruna","2013_06",11473,20
"a coruna","2013_12",11492,19
"a coruna","2014_06",11465,19
"a coruna","2014_12",11495,19
"a coruna","2015_06",11553,19
"a coruna","2015_12",11573,16
"a coruna","2016_06",11610,12
"a coruna","2016_12",11634,11
"a coruna","2017_06",11839,11
"a coruna","2017_12",11939,11
"a coruna","2018_06",11952,11
"a coruna","2018_12",11943,11
"a coruna","2019_06",12029,10
"a coruna","2019_12",12057,10
"a coruna","2020_06",12077,10
"alava","2001_06",3131,3
"alava","2010_12",3835,1
"alava","2011_06",3838,1
"alava","2011_12",3843,1
"alava","2012_06",3924,1
"alava","2012_12",3943,1
"alava","2013_06",3946,1
"alava","2013_12",3948,1
"alava","2014_06",3953,1
"alava","2014_12",3957,1
"alava","2015_06",3957,1
"alava","2015_12",3966,1
"alava","2016_06",3971,1
"alava","2016_12",3973,1
"alava","2017_06",3975,1
"alava","2017_12",3978,1
"alava","2018_06",3980,1
"alava","2018_12",4010,1
"alava","2019_06",4013,1
"alava","2019_12",4025,1
"alava","2020_06",4027,1
"albacete","2001_06",8914,87
"albacete","2010_12",9951,48
"albacete","2011_06",9956,46
"albacete","2011_12",9976,45
"albacete","2012_06",9983,45
"albacete","2012_12",10009,45
"albacete","2013_06",10022,44
"albacete","2013_12",10055,43
"albacete","2014_06",10065,43
"albacete","2014_12",10091,42
"albacete","2015_06",10095,42
"albacete","2015_12",10123,41
"albacete","2016_06",10132,40
"albacete","2016_12",10159,37
"albacete","2017_06",10175,36
"albacete","2017_12",10209,35
"albacete","2018_06",10219,35
"albacete","2018_12",10244,32
"albacete","2019_06",10258,32
"albacete","2019_12",10282,32
"albacete","2020_06",10287,32
"alicante","2001_06",25678,122
"alicante","2010_12",30725,100
"alicante","2011_06",30776,100
"alicante","2011_12",30843,100
"alicante","2012_06",30886,100
"alicante","2012_12",30924,90
"alicante","2013_06",30957,90
"alicante","2013_12",31001,87
"alicante","2014_06",31048,86
"alicante","2014_12",31094,83
"alicante","2015_06",31133,83
"alicante","2015_12",31158,83
"alicante","2016_06",31183,82
"alicante","2016_12",31218,82
"alicante","2017_06",31299,76
"alicante","2017_12",31331,76
"alicante","2018_06",31368,76
"alicante","2018_12",31424,61
"alicante","2019_06",31502,61
"alicante","2019_12",31528,60
"alicante","2020_06",31548,59
"almeria","2001_06",17366,77
"almeria","2010_12",21354,60
"almeria","2011_06",21413,60
"almeria","2011_12",21472,60
"almeria","2012_06",21546,60
"almeria","2012_12",21601,60
"almeria","2013_06",21877,60
"almeria","2013_12",21960,60
"almeria","2014_06",22019,60
"almeria","2014_12",22208,60
"almeria","2015_06",22244,60
"almeria","2015_12",22334,58
"almeria","2016_06",22361,58
"almeria","2016_12",22379,58
"almeria","2017_06",22517,56
"almeria","2017_12",22682,54
"almeria","2018_06",22720,54
"almeria","2018_12",22777,48
"almeria","2019_06",22811,48
"almeria","2019_12",22895,48
"almeria","2020_06",22913,48
"asturias","2001_06",10450,54
"asturias","2010_12",13295,41
"asturias","2011_06",13340,41
"asturias","2011_12",13350,41
"asturias","2012_06",13479,41
"asturias","2012_12",13601,41
"asturias","2013_06",13650,41
"asturias","2013_12",13650,40
"asturias","2014_06",13951,40
"asturias","2014_12",13960,40
"asturias","2015_06",14042,40
"asturias","2015_12",14070,40
"asturias","2016_06",14088,39
"asturias","2016_12",14222,35
"asturias","2017_06",14311,34
"asturias","2017_12",14378,34
"asturias","2018_06",14492,32
"asturias","2018_12",14545,32
"asturias","2019_06",14568,32
"asturias","2019_12",14755,32
"asturias","2020_06",14886,34
"avila","2001_06",9077,240
"avila","2010_12",10505,183
"avila","2011_06",10524,183
"avila","2011_12",10558,182
"avila","2012_06",10592,172
"avila","2012_12",10607,171
"avila","2013_06",10677,170
"avila","2013_12",10730,167
"avila","2014_06",10751,166
"avila","2014_12",10858,162
"avila","2015_06",10888,162
"avila","2015_12",11003,162
"avila","2016_06",11039,162
"avila","2016_12",11078,155
"avila","2017_06",11049,132
"avila","2017_12",11084,110
"avila","2018_06",11117,82
"avila","2018_12",11140,69
"avila","2019_06",11176,66
"avila","2019_12",11200,61
"avila","2020_06",11236,61
"badajoz","2001_06",14438,137
"badajoz","2010_12",17177,113
"badajoz","2011_06",17253,112
"badajoz","2011_12",17333,111
"badajoz","2012_06",17399,111
"badajoz","2012_12",17553,110
"badajoz","2013_06",17623,110
"badajoz","2013_12",17718,110
"badajoz","2014_06",17748,110
"badajoz","2014_12",17830,109
"badajoz","2015_06",17886,109
"badajoz","2015_12",17993,105
"badajoz","2016_06",18039,105
"badajoz","2016_12",18126,104
"badajoz","2017_06",18176,101
"badajoz","2017_12",18271,77
"badajoz","2018_06",18307,72
"badajoz","2018_12",18290,64
"badajoz","2019_06",18321,64
"badajoz","2019_12",18411,63
"badajoz","2020_06",18464,63
"baleares","2001_06",16515,29
"baleares","2010_12",17952,22
"baleares","2011_06",18005,22
"baleares","2011_12",18055,22
"baleares","2012_06",18113,22
"baleares","2012_12",18140,22
"baleares","2013_06",18250,22
"baleares","2013_12",18311,19
"baleares","2014_06",18318,19
"baleares","2014_12",18336,19
"baleares","2015_06",18351,19
"baleares","2015_12",18381,19
"baleares","2016_06",18474,19
"baleares","2016_12",18491,18
"baleares","2017_06",18502,17
"baleares","2017_12",18516,15
"baleares","2018_06",18545,15
"baleares","2018_12",18526,13
"baleares","2019_06",18543,13
"baleares","2019_12",18562,13
"baleares","2020_06",18527,13
"barcelona","2001_06",61018,14
"barcelona","2010_12",65983,10
"barcelona","2011_06",66090,10
"barcelona","2011_12",66190,10
"barcelona","2012_06",66248,10
"barcelona","2012_12",66347,10
"barcelona","2013_06",66519,10
"barcelona","2013_12",66570,10
"barcelona","2014_06",66640,10
"barcelona","2014_12",66957,10
"barcelona","2015_06",66922,9
"barcelona","2015_12",67094,9
"barcelona","2016_06",67116,8
"barcelona","2016_12",67154,8
"barcelona","2017_06",67109,8
"barcelona","2017_12",67238,8
"barcelona","2018_06",67297,8
"barcelona","2018_12",67274,8
"barcelona","2019_06",67341,8
"barcelona","2019_12",67454,8
"barcelona","2020_06",67522,7
"bizkaia","2001_06",6041,4
"bizkaia","2010_12",6594,3
"bizkaia","2011_06",6603,3
"bizkaia","2011_12",6617,3
"bizkaia","2012_06",6625,3
"bizkaia","2012_12",6635,3
"bizkaia","2013_06",6638,3
"bizkaia","2013_12",6648,3
"bizkaia","2014_06",6651,3
"bizkaia","2014_12",6662,3
"bizkaia","2015_06",6666,3
"bizkaia","2015_12",6671,3
"bizkaia","2016_06",6673,3
"bizkaia","2016_12",6686,3
"bizkaia","2017_06",6689,3
"bizkaia","2017_12",6693,3
"bizkaia","2018_06",6696,3
"bizkaia","2018_12",6670,3
"bizkaia","2019_06",6671,3
"bizkaia","2019_12",6675,3
"bizkaia","2020_06",6676,3
"burgos","2001_06",10684,130
"burgos","2010_12",13199,94
"burgos","2011_06",13224,94
"burgos","2011_12",13285,93
"burgos","2012_06",13317,93
"burgos","2012_12",13390,93
"burgos","2013_06",13404,93
"burgos","2013_12",13468,94
"burgos","2014_06",13475,93
"burgos","2014_12",13499,92
"burgos","2015_06",13540,91
"burgos","2015_12",13600,91
"burgos","2016_06",13635,85
"burgos","2016_12",13660,81
"burgos","2017_06",13668,71
"burgos","2017_12",13681,54
"burgos","2018_06",13694,49
"burgos","2018_12",13706,36
"burgos","2019_06",13746,31
"burgos","2019_12",13772,30
"burgos","2020_06",13842,28
"caceres","2001_06",15758,417
"caceres","2010_12",18285,210
"caceres","2011_06",18344,210
"caceres","2011_12",18437,208
"caceres","2012_06",18475,208
"caceres","2012_12",18627,205
"caceres","2013_06",18650,204
"caceres","2013_12",18742,204
"caceres","2014_06",18753,204
"caceres","2014_12",18812,199
"caceres","2015_06",18826,197
"caceres","2015_12",18964,197
"caceres","2016_06",18967,197
"caceres","2016_12",19000,189
"caceres","2017_06",19029,182
"caceres","2017_12",19067,158
"caceres","2018_06",19092,134
"caceres","2018_12",19086,92
"caceres","2019_06",19118,92
"caceres","2019_12",19170,86
"caceres","2020_06",19178,84
"cadiz","2001_06",19279,95
"cadiz","2010_12",23009,63
"cadiz","2011_06",23053,63
"cadiz","2011_12",23145,63
"cadiz","2012_06",23212,63
"cadiz","2012_12",23345,63
"cadiz","2013_06",23456,62
"cadiz","2013_12",23510,62
"cadiz","2014_06",23524,62
"cadiz","2014_12",23548,62
"cadiz","2015_06",23601,62
"cadiz","2015_12",23626,61
"cadiz","2016_06",23648,61
"cadiz","2016_12",23664,61
"cadiz","2017_06",23701,60
"cadiz","2017_12",23738,57
"cadiz","2018_06",23702,57
"cadiz","2018_12",23740,57
"cadiz","2019_06",23778,57
"cadiz","2019_12",23811,57
"cadiz","2020_06",23793,57
"cantabria","2001_06",6143,77
"cantabria","2010_12",6913,62
"cantabria","2011_06",6923,58
"cantabria","2011_12",6965,58
"cantabria","2012_06",6974,58
"cantabria","2012_12",7064,56
"cantabria","2013_06",7087,56
"cantabria","2013_12",7116,55
"cantabria","2014_06",7178,55
"cantabria","2014_12",7196,44
"cantabria","2015_06",7199,44
"cantabria","2015_12",7203,41
"cantabria","2016_06",7217,38
"cantabria","2016_12",7500,39
"cantabria","2017_06",7505,33
"cantabria","2017_12",7534,33
"cantabria","2018_06",7600,32
"cantabria","2018_12",7583,30
"cantabria","2019_06",7588,29
"cantabria","2019_12",7591,28
"cantabria","2020_06",7592,27
"castellon","2001_06",11763,52
"castellon","2010_12",14032,20
"castellon","2011_06",14063,20
"castellon","2011_12",14102,20
"castellon","2012_06",14148,19
"castellon","2012_12",14229,18
"castellon","2013_06",14263,17
"castellon","2013_12",14318,17
"castellon","2014_06",14354,17
"castellon","2014_12",14370,17
"castellon","2015_06",14478,17
"castellon","2015_12",14500,17
"castellon","2016_06",14525,16
"castellon","2016_12",14551,16
"castellon","2017_06",14612,15
"castellon","2017_12",14646,13
"castellon","2018_06",14671,12
"castellon","2018_12",14664,11
"castellon","2019_06",14705,11
"castellon","2019_12",14721,11
"castellon","2020_06",14732,11
"ceuta","2001_06",528,7
"ceuta","2010_12",545,7
"ceuta","2011_06",546,7
"ceuta","2011_12",546,7
"ceuta","2012_06",600,7
"ceuta","2012_12",600,7
"ceuta","2013_06",600,7
"ceuta","2013_12",602,7
"ceuta","2014_06",602,7
"ceuta","2014_12",595,7
"ceuta","2015_06",606,7
"ceuta","2015_12",606,7
"ceuta","2016_06",606,7
"ceuta","2016_12",606,7
"ceuta","2017_06",626,7
"ceuta","2017_12",628,7
"ceuta","2018_06",628,7
"ceuta","2018_12",628,7
"ceuta","2019_06",628,7
"ceuta","2019_12",628,7
"ceuta","2020_06",628,7
"ciudad real","2001_06",11525,159
"ciudad real","2010_12",13077,95
"ciudad real","2011_06",13120,95
"ciudad real","2011_12",13151,90
"ciudad real","2012_06",13198,90
"ciudad real","2012_12",13216,90
"ciudad real","2013_06",13239,89
"ciudad real","2013_12",13287,87
"ciudad real","2014_06",13303,87
"ciudad real","2014_12",13354,86
"ciudad real","2015_06",13383,86
"ciudad real","2015_12",13411,84
"ciudad real","2016_06",13457,84
"ciudad real","2016_12",13475,84
"ciudad real","2017_06",13462,61
"ciudad real","2017_12",13490,61
"ciudad real","2018_06",13539,58
"ciudad real","2018_12",13573,55
"ciudad real","2019_06",13617,47
"ciudad real","2019_12",13658,47
"ciudad real","2020_06",13676,47
"cordoba","2001_06",13044,43
"cordoba","2010_12",15562,34
"cordoba","2011_06",15585,34
"cordoba","2011_12",15694,34
"cordoba","2012_06",15738,34
"cordoba","2012_12",15796,34
"cordoba","2013_06",15851,34
"cordoba","2013_12",15907,34
"cordoba","2014_06",15915,34
"cordoba","2014_12",15961,34
"cordoba","2015_06",15985,34
"cordoba","2015_12",16025,34
"cordoba","2016_06",16050,34
"cordoba","2016_12",16049,32
"cordoba","2017_06",16055,30
"cordoba","2017_12",16111,30
"cordoba","2018_06",16131,29
"cordoba","2018_12",16099,28
"cordoba","2019_06",16111,27
"cordoba","2019_12",16140,26
"cordoba","2020_06",16143,26
"cuenca","2001_06",10397,221
"cuenca","2010_12",11743,144
"cuenca","2011_06",11766,138
"cuenca","2011_12",11807,134
"cuenca","2012_06",11837,134
"cuenca","2012_12",11902,134
"cuenca","2013_06",11913,131
"cuenca","2013_12",11940,127
"cuenca","2014_06",11960,123
"cuenca","2014_12",12010,119
"cuenca","2015_06",12022,119
"cuenca","2015_12",12041,118
"cuenca","2016_06",12052,115
"cuenca","2016_12",12059,111
"cuenca","2017_06",12077,109
"cuenca","2017_12",12091,97
"cuenca","2018_06",12097,94
"cuenca","2018_12",12120,89
"cuenca","2019_06",12122,89
"cuenca","2019_12",12123,89
"cuenca","2020_06",12141,81
"gipuzkoa","2001_06",3980,1
"gipuzkoa","2010_12",4374,1
"gipuzkoa","2011_06",4383,1
"gipuzkoa","2011_12",4405,1
"gipuzkoa","2012_06",4413,1
"gipuzkoa","2012_12",4427,1
"gipuzkoa","2013_06",4432,1
"gipuzkoa","2013_12",4437,1
"gipuzkoa","2014_06",4442,1
"gipuzkoa","2014_12",4466,1
"gipuzkoa","2015_06",4465,1
"gipuzkoa","2015_12",4469,1
"gipuzkoa","2016_06",4473,1
"gipuzkoa","2016_12",4484,1
"gipuzkoa","2017_06",4485,1
"gipuzkoa","2017_12",4508,1
"gipuzkoa","2018_06",4509,1
"gipuzkoa","2018_12",4503,1
"gipuzkoa","2019_06",4507,1
"gipuzkoa","2019_12",4521,1
"gipuzkoa","2020_06",4522,1
"girona","2001_06",18887,2
"girona","2010_12",21225,2
"girona","2011_06",21210,2
"girona","2011_12",21291,2
"girona","2012_06",21343,2
"girona","2012_12",21543,2
